Timestamp,Class,Entry,Exit,Distance_m,Speed_kmh
22-09-2017 04:58,car,WEST,NORTH,21.5,60.9
22-09-2017 02:17,car,EAST,SOUTH,21.5,56.7
22-09-2017 15:10,car,NORTH,SOUTH,21.5,47.7
22-09-2017 13:12,car,NORTH,SOUTH,21.5,61.8
22-09-2017 11:27,car,WEST,NORTH,21.5,85.3
22-09-2017 04:25,car,WEST,SOUTH,21.5,58.8
22-09-2017 12:57,bus,EAST,NORTH,21.5,35.2
22-09-2017 00:52,car,NORTH,SOUTH,21.5,60.4
22-09-2017 12:10,car,EAST,NORTH,21.5,73.6
22-09-2017 07:09,car,SOUTH,NORTH,21.5,57.0
22-09-2017 13:25,truck,WEST,SOUTH,21.5,52.4
22-09-2017 13:31,car,SOUTH,WEST,21.5,65.1
22-09-2017 04:51,truck,WEST,NORTH,21.5,25.3
22-09-2017 18:26,car,SOUTH,NORTH,21.5,47.2
22-09-2017 22:18,car,SOUTH,WEST,21.5,92.4
22-09-2017 19:29,car,NORTH,SOUTH,21.5,49.0
22-09-2017 21:15,truck,WEST,NORTH,21.5,50.0
22-09-2017 05:24,car,NORTH,SOUTH,21.5,90.9
22-09-2017 12:59,car,EAST,WEST,21.5,58.6
22-09-2017 16:38,car,NORTH,WEST,21.5,84.2
22-09-2017 16:04,car,WEST,NORTH,21.5,90.7
22-09-2017 09:30,car,SOUTH,WEST,21.5,89.7
22-09-2017 21:00,truck,SOUTH,EAST,21.5,38.0
22-09-2017 10:25,car,EAST,SOUTH,21.5,70.3
22-09-2017 22:51,car,SOUTH,WEST,21.5,76.7
22-09-2017 15:38,car,NORTH,WEST,21.5,72.9
22-09-2017 19:57,bus,WEST,SOUTH,21.5,41.9
22-09-2017 00:28,car,WEST,NORTH,21.5,46.9
22-09-2017 01:49,car,SOUTH,NORTH,21.5,61.6
22-09-2017 05:59,car,EAST,SOUTH,21.5,84.1
22-09-2017 11:36,car,NORTH,EAST,21.5,94.9
22-09-2017 16:39,bus,SOUTH,EAST,21.5,37.8
22-09-2017 09:09,car,SOUTH,WEST,21.5,89.1
22-09-2017 13:35,car,NORTH,EAST,21.5,61.6
22-09-2017 01:58,car,SOUTH,WEST,21.5,91.7
22-09-2017 01:57,bus,NORTH,SOUTH,21.5,53.2
22-09-2017 14:53,car,EAST,SOUTH,21.5,47.7
22-09-2017 10:46,truck,WEST,EAST,21.5,69.6
22-09-2017 02:59,car,WEST,EAST,21.5,57.2
22-09-2017 05:06,car,NORTH,WEST,21.5,52.3
22-09-2017 17:24,car,SOUTH,EAST,21.5,88.7
22-09-2017 00:15,car,EAST,NORTH,21.5,51.2
22-09-2017 13:01,car,EAST,WEST,21.5,48.4
22-09-2017 13:59,car,WEST,EAST,21.5,73.2
22-09-2017 02:30,car,EAST,WEST,21.5,66.4
22-09-2017 20:54,car,WEST,NORTH,21.5,49.3
22-09-2017 09:03,car,EAST,SOUTH,21.5,82.0
22-09-2017 23:21,car,SOUTH,NORTH,21.5,68.1
22-09-2017 09:03,car,EAST,WEST,21.5,82.8
22-09-2017 18:15,car,WEST,NORTH,21.5,94.5
22-09-2017 04:55,car,NORTH,SOUTH,21.5,75.6
22-09-2017 14:12,car,EAST,NORTH,21.5,60.9
22-09-2017 06:20,car,NORTH,WEST,21.5,56.0
22-09-2017 18:11,car,EAST,SOUTH,21.5,75.6
22-09-2017 15:06,car,EAST,NORTH,21.5,56.3
22-09-2017 23:59,car,SOUTH,NORTH,21.5,54.5
22-09-2017 19:45,car,SOUTH,NORTH,21.5,47.1
22-09-2017 05:00,car,WEST,SOUTH,21.5,91.4
22-09-2017 08:19,truck,WEST,SOUTH,21.5,44.6
22-09-2017 02:30,car,NORTH,SOUTH,21.5,92.6
22-09-2017 03:05,car,NORTH,WEST,21.5,52.1
22-09-2017 00:51,car,EAST,NORTH,21.5,70.1
22-09-2017 18:55,car,SOUTH,EAST,21.5,68.8
22-09-2017 04:22,car,WEST,SOUTH,21.5,58.5
22-09-2017 08:06,truck,EAST,WEST,21.5,48.3
22-09-2017 05:53,car,SOUTH,NORTH,21.5,93.6
22-09-2017 03:27,car,NORTH,EAST,21.5,79.0
22-09-2017 09:48,car,EAST,NORTH,21.5,70.3
22-09-2017 11:07,truck,EAST,NORTH,21.5,40.8
22-09-2017 15:12,truck,EAST,SOUTH,21.5,68.0
22-09-2017 23:33,car,SOUTH,WEST,21.5,84.0
22-09-2017 14:39,bus,NORTH,WEST,21.5,35.1
22-09-2017 03:48,car,NORTH,SOUTH,21.5,58.6
22-09-2017 03:29,car,WEST,SOUTH,21.5,50.1
22-09-2017 13:20,truck,EAST,SOUTH,21.5,69.8
22-09-2017 09:30,bus,EAST,WEST,21.5,28.0
22-09-2017 06:41,car,WEST,NORTH,21.5,57.3
22-09-2017 19:51,car,NORTH,WEST,21.5,91.7
22-09-2017 13:30,car,EAST,NORTH,21.5,52.6
22-09-2017 22:56,bus,EAST,WEST,21.5,39.6
22-09-2017 00:30,car,NORTH,EAST,21.5,62.4
22-09-2017 22:11,car,NORTH,WEST,21.5,86.8
22-09-2017 23:04,car,NORTH,WEST,21.5,71.6
22-09-2017 10:52,car,WEST,EAST,21.5,57.2
22-09-2017 08:12,truck,NORTH,SOUTH,21.5,57.4
22-09-2017 16:58,bus,EAST,SOUTH,21.5,40.5
22-09-2017 16:25,car,NORTH,WEST,21.5,53.2
22-09-2017 01:57,car,WEST,EAST,21.5,53.2
22-09-2017 06:51,car,EAST,NORTH,21.5,45.9
22-09-2017 14:08,bus,NORTH,EAST,21.5,36.4
22-09-2017 06:41,car,WEST,SOUTH,21.5,83.7
22-09-2017 12:22,car,SOUTH,NORTH,21.5,46.6
22-09-2017 02:36,car,SOUTH,NORTH,21.5,79.5
22-09-2017 11:25,car,WEST,EAST,21.5,56.3
22-09-2017 07:28,car,WEST,NORTH,21.5,58.9
22-09-2017 18:00,car,NORTH,EAST,21.5,84.9
22-09-2017 16:52,car,WEST,NORTH,21.5,55.5
22-09-2017 17:07,truck,NORTH,WEST,21.5,48.0
22-09-2017 18:46,car,NORTH,EAST,21.5,92.5
22-09-2017 14:44,car,SOUTH,WEST,21.5,87.5
22-09-2017 00:26,car,EAST,WEST,21.5,57.1
22-09-2017 05:11,car,WEST,EAST,21.5,90.9
22-09-2017 09:21,car,EAST,NORTH,21.5,62.3
22-09-2017 13:09,truck,NORTH,WEST,21.5,38.9
22-09-2017 22:39,car,EAST,WEST,21.5,54.2
22-09-2017 19:06,truck,EAST,NORTH,21.5,54.0
22-09-2017 18:42,car,SOUTH,NORTH,21.5,88.1
22-09-2017 19:22,truck,SOUTH,EAST,21.5,40.3
22-09-2017 13:39,car,WEST,NORTH,21.5,61.9
22-09-2017 14:27,car,NORTH,SOUTH,21.5,86.8
22-09-2017 06:45,car,EAST,SOUTH,21.5,56.5
22-09-2017 13:39,car,EAST,WEST,21.5,45.1
22-09-2017 22:31,car,WEST,EAST,21.5,50.5
22-09-2017 14:23,car,WEST,SOUTH,21.5,53.7
22-09-2017 21:13,car,SOUTH,WEST,21.5,60.3
22-09-2017 10:33,car,NORTH,WEST,21.5,55.6
22-09-2017 05:59,car,WEST,EAST,21.5,92.9
22-09-2017 12:47,car,SOUTH,EAST,21.5,52.7
22-09-2017 20:08,car,SOUTH,EAST,21.5,47.5
22-09-2017 17:40,car,WEST,SOUTH,21.5,63.8
22-09-2017 03:38,car,WEST,SOUTH,21.5,69.8
22-09-2017 21:06,car,WEST,NORTH,21.5,68.7
22-09-2017 16:19,bus,SOUTH,WEST,21.5,43.5
22-09-2017 17:35,car,EAST,NORTH,21.5,54.1
22-09-2017 04:29,car,WEST,EAST,21.5,89.1
22-09-2017 20:07,car,SOUTH,WEST,21.5,93.3
22-09-2017 15:58,car,WEST,SOUTH,21.5,55.8
22-09-2017 12:49,car,WEST,NORTH,21.5,53.1
22-09-2017 05:28,car,SOUTH,NORTH,21.5,59.3
22-09-2017 22:41,car,SOUTH,NORTH,21.5,72.5
22-09-2017 04:16,car,EAST,NORTH,21.5,55.1
22-09-2017 05:12,car,NORTH,SOUTH,21.5,57.0
22-09-2017 15:52,car,NORTH,WEST,21.5,89.3
22-09-2017 13:12,car,EAST,WEST,21.5,72.1
22-09-2017 09:24,truck,WEST,NORTH,21.5,38.4
22-09-2017 01:59,car,WEST,EAST,21.5,68.5
22-09-2017 07:49,truck,SOUTH,NORTH,21.5,46.1
22-09-2017 17:23,car,SOUTH,WEST,21.5,75.8
22-09-2017 03:17,car,EAST,NORTH,21.5,50.8
22-09-2017 03:08,car,EAST,NORTH,21.5,68.7
22-09-2017 01:53,car,EAST,WEST,21.5,89.2
22-09-2017 09:49,car,EAST,WEST,21.5,60.7
22-09-2017 19:27,car,WEST,NORTH,21.5,80.5
22-09-2017 21:07,car,SOUTH,NORTH,21.5,60.9
22-09-2017 05:38,car,NORTH,WEST,21.5,56.0
22-09-2017 23:15,car,NORTH,WEST,21.5,69.2
22-09-2017 06:26,truck,NORTH,SOUTH,21.5,28.3
22-09-2017 00:50,car,EAST,NORTH,21.5,80.1
22-09-2017 06:35,car,WEST,EAST,21.5,65.0
22-09-2017 12:59,car,SOUTH,WEST,21.5,45.6
22-09-2017 12:16,car,EAST,NORTH,21.5,81.3
22-09-2017 14:09,car,NORTH,SOUTH,21.5,47.2
22-09-2017 09:14,car,NORTH,WEST,21.5,85.8
22-09-2017 04:29,car,SOUTH,EAST,21.5,69.4
22-09-2017 11:19,car,WEST,EAST,21.5,82.4
22-09-2017 20:03,car,WEST,EAST,21.5,51.1
22-09-2017 12:01,car,EAST,NORTH,21.5,56.7
22-09-2017 10:05,truck,NORTH,WEST,21.5,67.7
22-09-2017 02:00,car,WEST,NORTH,21.5,59.8
22-09-2017 11:47,car,SOUTH,WEST,21.5,75.5
22-09-2017 21:36,truck,WEST,EAST,21.5,38.2
22-09-2017 20:30,car,EAST,NORTH,21.5,77.9
